x,y,z
-0.5186,0.002644,2.092
-0.482,0.007362,2.092
0.1943,0.3735,3.895
-0.4028,-0.00523,2.092
-0.5225,-0.047,2.092
-0.4185,-0.03748,2.092
1.637,0.11316,3.717
1.84,0.10986,1.431
0.8096,0.979,6.562
-0.1152,-0.01502,2.092
-0.4143,0.01678,2.092
0.666,1.283,3.941
-0.4326,0.7036,2.4
1.662,0.0902,3.674
-0.402,0.1198,2.723
0.02426,0.848,6.84
-0.2074,0.8013,2.4
1.637,0.1465,3.674
1.618,0.10846,3.674
-0.3887,0.8237,2.4
0.8413,0.974,3.848
-0.10474,0.1836,2.42
0.691,1.083,3.848
0.02374,0.8193,6.984
-0.4084,0.8604,2.943
-0.3782,0.7964,2.42
-0.3716,0.02248,2.092
-0.1799,-0.0838,2.133
-0.5537,-0.0747,2.092
-0.49,-0.0735,2.092
-0.03,0.2311,2.4
0.1512,-0.5293,3.633
1.248,0.937,6.31
1.863,0.152,1.431
0.863,0.965,3.803
-0.2096,0.4695,2.42
1.242,1.07,3.895
-0.1508,0.9844,2.842
-0.1508,1.003,7.465
-0.4119,0.3823,2.4
-0.1349,1.231,8.89
-0.7866,0.631,2.42
1.219,1.054,3.848
1.609,0.1608,3.674
-0.0991,1.03,7.14
-0.574,-0.07477,2.092
-0.3276,1.433,3.99
-0.4436,0.12427,2.635
-0.3909,0.355,2.4
-0.3333,0.6494,2.42
-0.0138,0.719,6.84
1.406,1.149,6.7
-0.3376,1.465,3.99
-0.1754,0.606,2.42
1.587,0.1129,3.717
-0.2007,0.8564,2.918
0.09424,0.82,6.7
-0.7256,0.628,2.42
-0.433,0.809,2.42
-0.04218,1.044,6.984
0.723,1.06,6.562
0.0407,1.02,6.7
0.03458,0.7715,6.984
-0.1912,0.829,2.918
0.7627,1.201,8.22
-0.575,0.0726,2.148
1.258,0.9,6.434
-0.6895,0.6685,2.4
-0.1608,1.286,7.465
-0.1309,0.9893,2.816
0.842,0.8027,6.31
-0.1613,1.03,7.465
-0.1833,0.4834,2.42
0.4114,1.016,6.562
0.723,1.026,6.7
1.386,0.9375,6.7
-0.152,0.7827,2.4
-0.3657,0.1383,2.635
-0.06207,0.231,2.4
0.1101,1.024,6.7
-0.1646,0.1051,2.191
1.247,1.05,3.895
-0.08826,1.186,8.89
0.01787,-0.4392,2.7
0.5796,0.4548,3.76
-0.04694,1.2,8.66
-0.3718,0.07306,2.162
1.592,1.542,3.895
-0.4119,0.4006,2.4
-0.1519,0.6636,2.42
1.243,0.8706,6.562
0.0835,0.7817,6.7
-0.2062,1.044,7.465
0.1431,0.863,6.7
0.842,0.8267,6.31
0.713,1.234,4.04
1.542,0.1163,3.717
0.799,0.817,6.31
0.6406,1.211,3.895
1.393,1.129,6.562
-0.1854,0.998,7.14
0.4224,0.754,6.434
0.03412,0.2407,6.562
0.1476,0.815,6.7
